GEOID10,Name,Pop,Urban,Rural,White,Black,Native,Asian,Pacific,Other,Many,Else,Hispanic,Male,Female,Total_2016,Dem_2016,Rep_2016,Total_2012,Dem_2012,Rep_2012,Total_2008,Dem_2008,Rep_2008,Total_2004,Dem_2004,Rep_2004,Total_2000,Dem_2000,Rep_2000,Total_1996,Dem_1996,Rep_1996,Total_1992,Dem_1992,Rep_1992
01001,Autauga County,54571,31650,22921,42855,9643,232,474,32,466,869,53261,1310,26569,28002,24973,5936,18172,23973,6363,17379,23641,6093,17403,20081,4758,15196,17208,4942,11993,15422,5015,9509,15585,4819,8715
01003,Baldwin County,182265,105205,77060,156153,17105,1216,1348,89,3631,2723,174273,7992,89196,93069,95215,18458,72883,85491,18424,66016,81413,19386,61271,69320,15599,52971,56480,13997,40872,47119,12776,29487,46476,12195,26270
01005,Barbour County,27457,8844,18613,13180,12875,114,107,29,894,258,26070,1387,14576,12881,10469,4871,5454,11517,5912,5550,11630,5697,5866,10777,4832,5899,10395,5188,5096,8953,4787,3627,10431,4836,4475
01007,Bibb County,22915,7252,15663,17381,5047,64,22,13,185,203,22509,406,12301,10614,8819,1874,6738,8420,2202,6132,8644,2299,6262,7600,2089,5472,7101,2710,4273,6301,2775,3037,6720,2900,3124
01009,Blount County,57322,5760,51562,53068,761,307,117,38,2347,684,52696,4626,28362,28960,25588,2156,22859,24060,2970,20757,24267,3522,20389,21504,3938,17386,17973,4977,12667,15327,5061,9056,16505,5433,8882
01011,Bullock County,10914,5307,5607,2507,7666,23,20,43,569,86,10137,777,5912,5002,4710,3530,1140,5322,4061,1251,5415,4011,1391,4717,3210,1494,4904,3395,1433,4384,3078,1154,4816,3259,1253
01013,Butler County,20947,6026,14921,11399,9095,60,177,7,48,161,20756,191,9838,11109,8732,3726,4901,9502,4374,5087,9709,4188,5485,8416,3413,4979,7803,3606,4127,7770,3828,3352,8478,4021,3494
01015,Calhoun County,118572,78617,39955,88840,24382,540,845,96,1894,1975,114679,3893,57176,61396,47864,13242,32865,46364,15511,30278,49242,16334,32348,45249,15083,29814,38909,15781,22306,36911,15725,18088,42800,16453,20623
01017,Chambers County,34215,17399,16816,20112,13257,69,168,10,214,385,33679,536,16363,17852,13900,5784,7843,14629,6871,7626,14956,6799,8067,13032,5347,7622,11834,5616,6037,11097,5515,4707,13091,5938,5682
01019,Cherokee County,25989,3707,22282,24081,1208,135,54,1,123,387,25669,320,12888,13101,10733,1547,8953,9792,2132,7506,9745,2306,7298,9049,3040,5923,7823,3497,4154,8421,4399,3048,7876,4222,2745
01021,Chilton County,43643,5785,37858,36713,4230,155,130,55,1854,506,40223,3420,21608,22035,18369,2911,15081,17485,3397,13932,17785,3674,13960,16693,3778,12829,15092,4806,10066,14278,5354,7910,14468,4946,8126
01023,Choctaw County,13859,0,13859,7731,6012,18,12,0,28,58,13786,73,6688,7171,7292,3109,4106,7976,3786,4152,7894,3636,4223,7227,3303,3897,7374,3707,3600,7131,4074,2623,7560,3941,3069
01025,Clarke County,25833,6205,19628,14070,11336,103,77,4,67,176,25562,271,12214,13619,13031,5749,7140,13860,6334,7470,13435,5914,7466,11394,4627,6730,10752,4679,5988,10118,4831,4785,11717,5023,5495
01027,Clay County,13932,0,13932,11380,2066,55,24,0,172,235,13533,399,6833,7099,6624,1237,5245,6679,1777,4817,6819,1760,4984,6576,1893,4624,5883,2045,3719,5568,2306,2694,5755,2073,2859
01029,Cleburne County,14972,0,14972,14079,498,51,23,10,151,160,14665,307,7453,7519,6593,684,5764,6319,971,5272,6492,1168,5216,5798,1391,4370,5092,1664,3333,4241,1737,2063,5237,2144,2425
01031,Coffee County,49948,26375,23573,37330,8359,645,644,100,1623,1247,46768,3180,24684,25264,20767,4221,15875,19821,4925,14666,20128,5079,14919,17616,4480,13019,15434,5220,9938,14159,5168,7805,15533,5776,7591
01033,Colbert County,54428,30537,23891,43789,8768,267,229,20,510,845,53335,1093,26159,28269,24915,7312,16746,23444,9166,13936,24843,9703,14739,23935,10598,13188,21532,10543,10518,20318,10226,8305,22439,12206,8073
01035,Conecuh County,13228,2520,10708,6788,6149,44,17,1,97,132,13067,161,6412,6816,6585,3080,3420,7025,3555,3439,6943,3429,3470,6021,2719,3271,5551,2783,2699,5461,2903,2093,6307,3155,2463
01037,Coosa County,11539,0,11539,7648,3582,40,16,15,135,103,11309,230,5727,5812,5252,1782,3381,5282,2191,3049,5563,2273,3248,5001,2055,2905,4567,2104,2382,4131,2121,1721,4798,2330,1973
01039,Covington County,37765,11461,26304,32022,4716,214,155,1,135,522,37282,483,18288,19477,15940,2387,13267,15439,3158,12153,15787,3240,12444,14627,3423,11119,13613,4440,8961,11913,4543,6035,13962,5004,6840
01041,Crenshaw County,13906,0,13906,10097,3254,57,189,8,99,202,13702,204,6714,7192,6267,1664,4513,6424,2050,4331,6291,1938,4319,5500,1698,3777,4795,1934,2793,4447,2172,1939,5290,2404,2339
01043,Cullman County,80406,21517,58889,76133,856,408,343,18,1759,889,76952,3454,39719,40687,37873,3798,32989,34555,5052,28999,35305,5864,28896,35191,8045,26818,29525,9758,19157,26553,9544,14308,29043,10451,14411
01045,Dale County,50251,24679,25572,37236,9679,371,534,44,882,1505,47430,2821,24825,25426,18749,4413,13808,18601,5286,13108,19320,5270,13886,18231,4484,13621,15806,4906,10593,14330,4732,8288,15787,5098,8123
